play DLPS,speaker,count
A00456,virginius,1541
A00456,haphazard,1539
A00456,appius,1316
A00456,mansipulus,564
A00456,virginia,560
A00456,mansipula,449
A00456,mater,278
A00456,all,235
A00456,subservus,163
A00456,rumour,154
A00456,conscience,142
A00456,claudius,108
A00456,justice,74
A00456,comfort,18
A00723,ingen,1711
A00723,maid,1649
A00723,widow,1090
A00723,wife,1042
A00723,subtle,1033
A00723,husband,985
A00723,bould,581
A00723,proudly,553
A00723,brother,374
A00723,well,274
A00723,bots,253
A00723,seldom,247
A00723,feesimple,209
A00723,grace,133
A00723,mall,65
A00723,priest,52
A00723,count,51
A00723,omnes,27
A00723,mrs_seldom,24
A00723,teare,20
A00723,2_sergeant,5
A00723,1_sergeant,3
A00725,scudmore,2762
A00725,neville,1384
A00725,strange,1161
A00725,bellafront,781
A00725,abraham,631
A00725,pendant,545
A00725,powts,501
A00725,worldly,428
A00725,kate,420
A00725,wagtayle,314
A00725,frederick,198
A00725,lucida,160
A00725,innocent,41
A00725,lady_ninny,17
A00725,boy,15
A00725,servant,11